class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
Poisonious,Convex,Smooth,Brown,True,Pungent,Free,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
Edible,Convex,Smooth,yellow,True,Almond,Free,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
Edible,Bell,Smooth,White,True,Anise,Free,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
Poisonious,Convex,Scaly,White,True,Pungent,Free,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
Edible,Convex,Smooth,Gray,False,None,Free,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
Edible,Convex,Scaly,yellow,True,Almond,Free,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
Edible,Bell,Smooth,White,True,Almond,Free,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
Edible,Bell,Scaly,White,True,Anise,Free,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
Poisonious,Convex,Scaly,White,True,Pungent,Free,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
Edible,Bell,Smooth,yellow,True,Almond,Free,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
Edible,Convex,Scaly,yellow,True,Anise,Free,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
Edible,Convex,Scaly,yellow,True,Almond,Free,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
Edible,Bell,Smooth,yellow,True,Almond,Free,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
Poisonious,Convex,Scaly,White,True,Pungent,Free,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
Edible,Convex,Fibrous,Brown,False,None,Free,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
Edible,Sunken,Fibrous,Gray,False,None,Free,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
Edible,Flat,Fibrous,White,False,None,Free,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
Poisonious,Convex,Smooth,Brown,True,Pungent,Free,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
Poisonious,Convex,Scaly,White,True,Pungent,Free,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
